City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
21,Nortelandia,-14.4547,-56.8028,77.77,88,100,5.73,BR,2021-11-30 20:08:14
22,Beira,-19.8436,34.8389,75.29,83,0,6.91,MZ,2021-11-30 20:08:15
23,Qaanaaq,77.484,-69.3632,-0.33,78,16,5.97,GL,2021-11-30 20:08:15
24,Corvallis,44.5646,-123.262,59.97,89,90,3.44,US,2021-11-30 20:07:51
25,Puerto Ayora,-0.7393,-90.3518,78.76,83,95,10.22,EC,2021-11-30 20:08:15
26,Hirado,33.3597,129.5531,48.38,60,100,32.5,JP,2021-11-30 20:08:16
27,Atuona,-9.8,-139.0333,78.46,75,4,20.4,PF,2021-11-30 20:08:16
28,Dikson,73.5069,80.5464,-13.63,100,100,7.81,RU,2021-11-30 20:08:16
29,San Andres,12.5847,-81.7006,84.22,84,40,9.22,CO,2021-11-30 20:08:17
30,Cayenne,4.9333,-52.3333,84.24,89,20,1.01,GF,2021-11-30 20:08:17
31,Cascais,38.6979,-9.4215,57.06,72,40,15.01,PT,2021-11-30 20:08:17
32,Kapaa,22.0752,-159.319,80.92,72,40,4.0,US,2021-11-30 20:08:18
33,Rikitea,-23.1203,-134.9692,76.39,75,0,21.05,PF,2021-11-30 20:04:43
34,Praia Da Vitoria,38.7333,-27.0667,62.76,80,100,11.65,PT,2021-11-30 20:06:30
35,Cape Town,-33.9258,18.4232,66.09,68,100,10.85,ZA,2021-11-30 20:08:18
36,Mar Del Plata,-38.0023,-57.5575,59.88,77,14,13.0,AR,2021-11-30 20:05:28
37,Sakakah,29.9697,40.2064,65.53,24,5,7.74,SA,2021-11-30 20:08:19
38,Ilulissat,69.2167,-51.1,17.89,90,100,7.38,GL,2021-11-30 20:08:19
39,Juxtlahuaca,17.4294,-99.1467,84.18,44,99,3.06,MX,2021-11-30 20:08:19
40,Saint George,37.1041,-113.5841,69.35,26,1,1.01,US,2021-11-30 20:05:09
41,Chara,56.9064,118.2631,-1.1,86,100,0.36,RU,2021-11-30 20:08:20
42,Labuhan,-6.8844,112.2051,76.73,91,100,6.2,ID,2021-11-30 20:08:20
43,Port Alfred,-33.5906,26.891,66.88,74,89,4.38,ZA,2021-11-30 20:08:20
44,Lambarene,-0.7001,10.2406,75.94,92,90,1.7,GA,2021-11-30 20:08:21
45,Nalut,30.3333,10.85,53.69,48,72,8.39,LY,2021-11-30 20:05:59
46,Georgetown,5.4112,100.3354,78.89,86,20,0.0,MY,2021-11-30 20:09:21
47,Bredasdorp,-34.5322,20.0403,63.28,69,100,7.61,ZA,2021-11-30 20:09:21
48,Boysun,38.2061,67.1986,48.0,30,0,5.68,UZ,2021-11-30 20:09:22
49,Ponta Do Sol,32.6667,-17.1,65.01,75,57,3.51,PT,2021-11-30 20:09:22
50,Katherine,-14.4667,132.2667,82.72,74,100,9.22,AU,2021-11-30 20:09:22
51,Chokurdakh,70.6333,147.9167,-13.72,98,100,6.11,RU,2021-11-30 20:09:23
52,Geraldton,-28.7667,114.6,61.21,77,90,11.5,AU,2021-11-30 20:09:23
53,Hermanus,-34.4187,19.2345,63.81,72,100,10.85,ZA,2021-11-30 20:09:23
54,Ushuaia,-54.8,-68.3,58.62,48,100,11.86,AR,2021-11-30 20:09:10
55,Lebu,-37.6167,-73.65,60.03,72,2,13.0,CL,2021-11-30 20:09:24
56,Hithadhoo,-0.6,73.0833,81.79,75,30,7.58,MV,2021-11-30 20:09:24
57,Bethel,41.3712,-73.414,38.01,83,90,1.01,US,2021-11-30 20:09:24
