City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Jambi,ID,-1.6,103.6167,74.61,96,100,3.78,overcast clouds
207,Haines Junction,CA,60.7522,-137.5108,14.9,97,100,2.77,light snow
208,Hun,LY,29.1268,15.9477,49.8,35,0,19.22,clear sky
209,Grand-Lahou,CI,5.1367,-5.0242,79.93,83,13,9.26,few clouds
210,Olafsvik,IS,64.8945,-23.7142,35.35,75,100,20.51,overcast clouds
211,Nikolskoye,RU,59.7035,30.7861,5.4,97,100,3.04,overcast clouds
212,Kavieng,PG,-2.5744,150.7967,82.63,80,100,11.5,moderate rain
213,Westport,US,41.1415,-73.3579,59.32,92,75,1.99,broken clouds
214,Wuxi,CN,31.5689,120.2886,50.95,71,1,7.31,clear sky
215,Ponta Do Sol,PT,32.6667,-17.1,65.03,70,73,7.47,broken clouds
216,Nabire,ID,-3.3667,135.4833,85.35,65,100,3.18,overcast clouds
217,Sept-Iles,CA,50.2001,-66.3821,30.06,97,90,13,snow
218,Kismayo,SO,-0.3582,42.5454,79.29,78,45,10.74,scattered clouds
219,Quelimane,MZ,-17.8786,36.8883,82.35,78,0,11.99,clear sky
220,Cururupu,BR,-1.8283,-44.8683,76.93,91,60,2.8,broken clouds
221,Bereda,ES,43.2686,-7.5406,54.14,100,99,3.87,overcast clouds
222,Udachnyy,RU,66.4167,112.4,-36.06,99,76,5.21,broken clouds
223,Victoria,HK,22.2855,114.1577,67.24,62,8,1.99,clear sky
224,Polunochnoye,RU,60.8697,60.4153,-10.79,96,19,4.38,few clouds
225,Inhambane,MZ,-23.865,35.3833,76.01,88,42,6.04,scattered clouds
226,Kokopo,PG,-4.352,152.2633,83.82,71,96,3.31,light rain
227,Pokaran,IN,26.9167,71.9167,61.72,39,0,9.95,clear sky
228,Christchurch,NZ,-43.5333,172.6333,59.95,89,90,4.61,overcast clouds
229,Kalat,PK,29.0225,66.5916,40.51,16,0,5.44,clear sky
230,Nanortalik,GL,60.1432,-45.2371,23.95,61,47,38.27,scattered clouds
231,Hrubieszow,PL,50.805,23.8925,28.49,98,100,4.76,overcast clouds
232,Lethem,GY,3.3803,-59.7968,80.13,72,83,11.16,broken clouds
233,Saint George,US,37.1041,-113.5841,61.36,27,1,1.01,clear sky
234,Ribeira Grande,PT,38.5167,-28.7,64.8,81,100,17.43,overcast clouds
235,Marsh Harbour,BS,26.5412,-77.0636,76.89,83,38,10.33,scattered clouds
236,Kletskaya,RU,49.3145,43.0584,30.07,99,100,7.92,overcast clouds
237,Mormugao,IN,15.4,73.8,72.23,76,98,5.37,overcast clouds
238,Asau,RO,46.4333,26.4,33.96,87,58,3.04,broken clouds
239,Moshkovo,RU,55.3053,83.6104,30.15,96,100,13.4,light snow
